LU,gold
African Americans,0
Albanians,0
American Indian,0
Americans,0
Arabs,0
Armenians,0
Australians,0
Canadians,0
Chinese people,0
Dutch people,0
Filipinos,0
French people,0
German people,0
Immigrant,0
Indian people,0
Inuit,0
Irish people,0
Italian women,0
Mexican immigrants,0
Native Hawaiian,0
Oklahoman,0
Pacific Islanders,0
Palestinian,0
Polish people,0
Protestants,0
Roman Catholics,0
gay people,0
middle-class people,0
refugees,0
women,0
Chinaman,1
Leb,1
WASPy,1
ZOG,1
Zio,1
anchor babies,1
azn,1
bimbo,1
bint,1
chav,1
ching chong,1
cunt,1
faggy,1
gaylord,1
ghey,1
goatfucker,1
gypsy,1
honky,1
hoodrat,1
mongoloid,1
newfies,1
nigger,1
polack,1
porch monkey,1
race traitor,1
redneck,1
scally,1
seppo,1
shemale,1
shyster,1
slut,1
spics,1
sub human,1
taqiyya,1
trailer trash,1
twat,1
wetback,1
white trash,1
wigger,1
yokel,1
